Date start: local (see time zone entry) // Date de début : locale (voir l'entrée du fuseau horaire),Time start: local (see time zone entry) // Heure de début : locale (voir l'entrée du fuseau horaire),Date end: local (see time zone entry) // Date de fin : locale (voir l'entrée du fuseau horaire),Time end: local (see time zone entry) // Heure de fin : locale (voir l'entrée du fuseau horaire),Time zone: local // Fuseau horaire: local,Trip identification // Identifiant du déplacement,Latitude: decimal degrees // Latitude : degrés décimaux,Longitude: decimal degrees // Longitude : Degrés décimaux,VOC_ppbv/VOC_ppbv
17/09/2015,10:14:59,17/09/2015,12:15:00,EDT,Drive_07,43.78095,-79.46765,0.094288
17/09/2015,10:15:00,17/09/2015,12:15:01,EDT,Drive_07,43.78095,-79.46765,0.049389
17/09/2015,10:15:01,17/09/2015,12:15:02,EDT,Drive_07,43.78095,-79.46765,0.164197
17/09/2015,10:15:02,17/09/2015,12:15:03,EDT,Drive_07,43.78095,-79.46765,0.167996
17/09/2015,10:15:03,17/09/2015,12:15:04,EDT,Drive_07,43.78095,-79.46765,0.465232
17/09/2015,10:22:53,17/09/2015,12:22:54,EDT,Drive_07,43.78856,-79.47034,-0.031367
17/09/2015,10:22:54,17/09/2015,12:22:55,EDT,Drive_07,43.78868,-79.47037,0.304629
17/09/2015,10:22:55,17/09/2015,12:22:56,EDT,Drive_07,43.7888,-79.4704,0.04413
17/09/2015,10:22:56,17/09/2015,12:22:57,EDT,Drive_07,43.78893,-79.47043,0.275793
17/09/2015,10:22:57,17/09/2015,12:22:58,EDT,Drive_07,43.78905,-79.47046,0.159037
17/09/2015,10:22:58,17/09/2015,12:22:59,EDT,Drive_07,43.78918,-79.47049,0.20125
17/09/2015,10:22:59,17/09/2015,12:23:00,EDT,Drive_07,43.7893,-79.47052,-0.103212
17/09/2015,10:49:50,17/09/2015,12:49:51,EDT,Drive_07,43.7922,-79.49753,-0.044594
17/09/2015,10:49:51,17/09/2015,12:49:52,EDT,Drive_07,43.79227,-79.49737,0.371672
17/09/2015,10:49:52,17/09/2015,12:49:53,EDT,Drive_07,43.79232,-79.49721,-999
17/09/2015,10:49:53,17/09/2015,12:49:54,EDT,Drive_07,43.79235,-79.49704,-999
17/09/2015,10:49:54,17/09/2015,12:49:55,EDT,Drive_07,43.79239,-79.49686,-999
